"Name","Platform","Genre","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating"
"LEGO Marvel Super Heroes","PS3","Action",1.84,82,22,78,76,"E10+"
"Rayman Raving Rabbids 2","Wii","Misc",1.83,67,25,82,66,"E10+"
"Dragon Quest Monsters: Joker","DS","Role-Playing",1.76,75,30,73,27,"E10+"
"LEGO Star Wars III: The Clone Wars","Wii","Action",1.76,76,7,76,10,"E10+"
"Dance Dance Revolution X","PS2","Simulation",1.75,55,6,61,6,"E10+"
"Knack","PS4","Platform",1.73,54,83,64,1074,"E10+"
"Portal 2","PS3","Shooter",1.7,95,54,83,937,"E10+"
"Sid Meier's Civilization V","PC","Strategy",1.68,90,70,78,2280,"E10+"
"Shaun White Snowboarding: Road Trip","Wii","Sports",1.66,78,28,86,22,"E10+"
"LEGO Batman 2: DC Super Heroes","X360","Action",1.66,79,59,71,114,"E10+"
"Kirby's Return to Dreamland","Wii","Platform",1.65,77,49,84,156,"E10+"
"Need for Speed Carbon","X360","Racing",1.65,77,52,62,82,"E10+"
"LEGO Marvel Super Heroes","PS4","Action",1.62,83,22,76,262,"E10+"
"Dragon Quest IV: Chapters of the Chosen","DS","Role-Playing",1.62,80,44,78,50,"E10+"
"Kingdom Hearts 3D: Dream Drop Distance","3DS","Action",1.58,75,54,81,267,"E10+"
"Dance Dance Revolution: Hottest Party 2","Wii","Simulation",1.58,69,8,67,6,"E10+"
"Guitar Hero: On Tour Decades","DS","Misc",1.57,72,40,79,5,"E10+"
"Dragon Quest V: Hand of the Heavenly Bride","DS","Role-Playing",1.57,84,46,84,57,"E10+"
"LEGO Pirates of the Caribbean: The Video Game","Wii","Action",1.55,73,14,69,13,"E10+"
"LEGO Harry Potter: Years 1-4","X360","Action",1.55,79,58,79,62,"E10+"
"Go Vacation","Wii","Misc",1.53,64,28,77,13,"E10+"
"Ni no Kuni: Wrath of the White Witch","PS3","Role-Playing",1.51,85,89,85,984,"E10+"
"LEGO Star Wars III: The Clone Wars","X360","Action",1.48,75,43,77,42,"E10+"
